Modèle,MSE,MAE,R2
Model,0.0002124282610395,0.0077340141568656,0.9878053267852666
Stacking Ensemble Regressor,0.0002124282610395,0.0077340141568656,0.9878053267852666
Stacking Ensemble Regressor with RobustScaler,0.0147118087205956,0.0665377244191636,0.9883986814598604
Stacking Ensemble Regressor with Normalization,9.641552715985394e-05,0.0034713701805853,0.9967090015187798
Stacking Ensemble Regressor with StandardScaler,0.0130628917056812,0.0598692674738099,0.9868530239011613
Stacking Ensemble Regressor with MinMaxScaler,0.0002124282610395,0.0077340141568656,0.9878053267852666
Stacking Ensemble Regressor with Normalizer,9.641552715985394e-05,0.0034713701805853,0.9967090015187798
